"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"583","2","Source of term","Source of term","0","0","0","","5","","","","","-6","HLD","","","","9999"
"583","3","Materials specified","Materials specified","0","0","0","","5","","","","","-6","HLD","","","","9999"
"583","5","Institution to which field applies","Institution to which field applies","0","0","0","","5","","","","","-6","HLD","","","","9999"
"583","6","Linkage","Linkage","0","0","0","","5","","","","","-6","HLD","","","","9999"
"583","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","HLD","","","","9999"
"583","a","Action","Action","0","0","0","","5","","","","","-1","HLD","","","","9999"
"583","b","Action identification","Action identification","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","c","Time/date of action","Time/date of action","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","d","Action interval","Action interval","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","e","Contingency for action","Contingency for action","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","f","Authorization","Authorization","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","h","Jurisdiction","Jurisdiction","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","i","Method of action","Method of action","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","j","Site of action","Site of action","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","k","Action agent","Action agent","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","l","Status","Status","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","n","Extent","Extent","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","o","Type of unit","Type of unit","1","0","0","","5","","","","","-1","HLD","","","","9999"
"583","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","5","","","","1","-1","HLD","","","","9999"
"583","x","Nonpublic note","Nonpublic note","1","0","0","","5","","","","","4","HLD","","","","9999"
"583","z","Public note","Public note","1","0","0","","5","","","","","-1","HLD","","","","9999"
"842","6","Linkage","Linkage","0","0","0","","8","","","","","-6","HLD","","","","9999"
"842","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","-6","HLD","","","","9999"
"842","a","Textual physical form designator","Textual physical form designator","0","0","0","","8","","","","","-1","HLD","","","","9999"
"843","3","Materials specified","Materials specified","0","0","0","","8","","","","","-6","HLD","","","","9999"
"843","5","Institution to which field applies","Institution to which field applies","0","0","0","","8","","","","","-6","HLD","","","","9999"
"843","6","Linkage","Linkage","0","0","0","","8","","","","","-6","HLD","","","","9999"
"843","7","Fixed-length data elements of reproduction","Fixed-length data elements of reproduction","0","0","0","","8","","","","","-6","HLD","","","","9999"
"843","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","-6","HLD","","","","9999"
"843","a","Type of reproduction","Type of reproduction","0","0","0","","8","","","","","-1","HLD","","","","9999"
"843","b","Place of reproduction","Place of reproduction","1","0","0","","8","","","","","-1","HLD","","","","9999"
"843","c","Agency responsible for reproduction","Agency responsible for reproduction","1","0","0","","8","","","","","-1","HLD","","","","9999"
"843","d","Date of reproduction","Date of reproduction","0","0","0","","8","","","","","-1","HLD","","","","9999"
"843","e","Physical description of reproduction","Physical description of reproduction","0","0","0","","8","","","","","-1","HLD","","","","9999"
"843","f","Series statement of reproduction","Series statement of reproduction","1","0","0","","8","","","","","-1","HLD","","","","9999"
"843","m","Dates of publication and/or sequential designation of issues reproduced","Dates of publication and/or sequential designation of issues reproduced","1","0","0","","8","","","","","-1","HLD","","","","9999"
"843","n","Note about reproduction","Note about reproduction","1","0","0","","8","","","","","-1","HLD","","","","9999"
"844","6","Linkage","Linkage","0","0","0","","8","","","","","-6","HLD","","","","9999"
"844","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","-6","HLD","","","","9999"
"844","a","Name of unit","Name of unit","0","0","0","","8","","","","","-1","HLD","","","","9999"
"845","2","Source of term","Source of term","0","0","0","","8","","","","","-6","HLD","","","","9999"
"845","3","Materials specified","Materials specified","0","0","0","","8","","","","","-6","HLD","","","","9999"
"845","5","Institution to which field applies","Institution to which field applies","0","0","0","","8","","","","","-6","HLD","","","","9999"
"845","6","Linkage","Linkage","0","0","0","","8","","","","","-6","HLD","","","","9999"
"845","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","-6","HLD","","","","9999"
"845","a","Terms governing use and reproduction","Terms governing use and reproduction","0","0","0","","8","","","","","-6","HLD","","","","9999"
"845","b","Jurisdiction","Jurisdiction","0","0","0","","8","","","","","-6","HLD","","","","9999"
"845","c","Authorization","Authorization","0","0","0","","8","","","","","-6","HLD","","","","9999"
"845","d","Authorized users","Authorized users","0","0","0","","8","","","","","-6","HLD","","","","9999"
"845","f","Use and reproduction rights","Use and reproduction rights","1","0","0","","8","","","","","-6","HLD","","","","9999"
"845","g","Availability date","Availability date","1","0","0","","8","","","","","-6","HLD","","","","9999"
"845","q","Supplying agency","Supplying agency","0","0","0","","8","","","","","-6","HLD","","","","9999"
"845","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","8","","","","1","-6","HLD","","","","9999"
"852","2","Source of classification or shelving scheme","Source of classification or shelving scheme","0","0","0","","8","","","","","5","HLD","","","","9999"
"852","3","Materials specified","Materials specified","0","0","0","","8","","","","","5","HLD","","","","9999"
"852","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"852","8","Sequence number","Sequence number","0","0","0","","8","","","","","5","HLD","","","","9999"
"852","a","Location","Location","0","0","0","","8","","","","","4","HLD","","","","9999"
"852","b","Sublocation or collection","Sublocation or collection","1","0","0","holdings.holdingbranch","8","branches","","","","4","HLD","","","","9999"
